Widok,Inwestycja,Deweloper,Liczba Mieszkań,Balkony,Fasady,Mieszkania,Teren,Udogodnienia,Wnętrza,ocenaLOG,ocena_wazona,Longitude,Latitude
#r6649,Panorama Prądnik,Nokturn Deweloper,127,2,0,0,1,,,1.11,140.65,19.954844133580718,50.09854991705679
#r6650,Willa Nokturn,Nokturn Deweloper,59,3,1,,1,0,,1.89,111.61,20.027862374104657,50.01539098956216
#r6684,STELMACHÓW 205,ZABIELNY INVEST SPÓŁKA JAWNA,16,1,2,,1,,2,1.62,25.92,19.900118,50.097137
#r6691,Glogera Bricks,KRK ESTATE,72,1,1,,0,,,0.76,54.96,19.926235454337753,50.104151545431414
#r6693,Moja Skawina,Epol Holding,165,2,1,1,0,,,1.24,204.64,19.841812849044807,49.98232329180183
#r6703,Viva Piast 6,Victoria Dom S.A.,108,2,1,,0,,,1.31,141.37,20.011639595031745,50.10600604993806
#r6700,Dvorskie Residence,Dvorskie Residence,4,1,2,,1,,2,1.62,6.48,19.902930176069177,50.111861546456254
#r6704,Jagiellońska Park,Royal Invest sp. z o.o.,86,2,2,,1,,,1.76,151.65,20.099052,49.88714
#r6712,Wzgórze Gustawa,Awim Grupa Inwestycyjna,81,1,1,,1,,,1.00,81,20.05861959965889,50.10322598663827
#r6711,Szaflarska 9,Awim Grupa Inwestycyjna,13,2,1,,1,,,1.45,18.89,19.9377831724814,50.041214946842615
#r6713,Wenecja 1,MJM 11 Sp. z o.o.,13,0,4,4,,3,3,3.40,44.25,19.9269895,50.0604563
#r6721,Takt Lirników,Matexi Polska Sp. z o.o.,100,2,0,,1,,3,2.05,205.39,19.964767085410674,50.01625922430911
#r6745,Aleja Dębowa III - mieszkania,Wisdomic Home Sp. z o.o. Sp. k.,24,2,1,,0,,,1.31,31.42,20.058764518152483,50.04723321230526
#r6759,Glogera Bricks,KRK ESTATE,72,1,1,,0,,,0.76,54.96,19.926122162664,50.104168655091
#r6769,Bunscha Residence,INTER-BUD Developer Sp. z o.o.,282,2,2,,1,,,1.76,497.27,19.888540337933,50.016686426068
#r6785,Wiślane Tarasy 2.0 bud. C,INTER-BUD Developer Sp. z o.o.,189,4,3,,1,,4,3.50,660.84,19.963902772312,50.055583269687
#r6795,Łanowe Zacisze,PC3D 1 sp. z o.o.,12,1,1,,1,,,1.00,12,19.847366295032,49.976866817957
#r6794,Mieszkaj w mieście - przy Bonarce,Henniger Investment S.A.,391,3,1,1,1,1,3,2.14,837.1,19.9527294,50.0254182
#r6798,Wiślane Tarasy budynek 4,INTER-BUD Developer Sp. z o.o.,71,3,3,,1,,,2.66,188.86,19.96196037643024,50.05476571928169
#r6799,Grzegórzki Park - Budynek nr 6,INTER-BUD Developer Sp. z o.o.,68,3,2,,2,1,1,2.09,141.91,19.96638228964202,50.065263521219435
#r6800,Grzegórzki Park - Budynek nr 4,INTER-BUD Developer Sp. z o.o.,113,3,2,,2,,1,2.24,253.15,19.96762076943104,50.06527149895298
#r6801,Wiślane Tarasy 2.0 budynek D,INTER-BUD Developer Sp. z o.o.,150,3,2,,2,4,1,2.91,437.15,19.962262992968732,50.05506373758781
#r6802,Osiedle Bobrzyńskiego II,INTER-BUD Developer Sp. z o.o.,39,2,2,,2,,,2.00,78,19.905988831556233,50.018953528631805
#r6803,Grzegórzki Park - Budynek nr 3,INTER-BUD Developer Sp. z o.o.,118,3,2,,2,,1,2.24,264.35,19.96676192952777,50.06526767267392
#r6804,Osiedle Bobrzyńskiego,INTER-BUD Developer Sp. z o.o.,45,2,1,,0,1,,1.24,55.81,19.902778740482578,50.02221815113778
#r6805,Wiślane Tarasy budynek 6,INTER-BUD Developer Sp. z o.o.,194,2,3,,2,0,,2.19,425.53,19.96123525532264,50.05539203977186
#r6806,Panorama Kliny,INTER-BUD Developer Sp. z o.o.,79,2,0,,1,,2,1.53,120.97,19.889079506858025,50.00243340728339
#r6808,Wiślane Tarasy budynek 5,INTER-BUD Developer Sp. z o.o.,188,3,2,,1,0,,2.05,386.13,19.961547599636017,50.05533986430224
#r6809,Willa Wego,INTER-BUD Developer Sp. z o.o.,69,2,0,,0,1,,1.11,76.42,19.898277685621878,50.08461583072391
#r6810,M House,INTER-BUD Developer Sp. z o.o.,156,2,2,,0,,,1.66,258.96,19.964140804233434,50.09971258003988
#r6811,Osiedle Bobrzyńskiego - Przemiarki,INTER-BUD Developer Sp. z o.o.,8,1,2,,1,,,1.45,11.62,19.90246631873733,50.022680005715515
